price,compression-ratio,horsepower,peak-rpm,num-of-doors,num-of-cylinders,body-style
9279.0,7.5,116.0,5500.0,four,four,sedan
9279.0,7.5,116.0,5500.0,four,four,sedan
5499.0,9.4,69.0,5200.0,two,four,sedan
7099.0,21.9,55.0,4800.0,two,four,sedan
6649.0,9.4,69.0,5200.0,two,four,sedan
6849.0,9.4,69.0,5200.0,four,four,sedan
7349.0,9.4,69.0,5200.0,four,four,wagon
7299.0,9.4,69.0,5200.0,two,four,sedan
7799.0,9.4,69.0,5200.0,two,four,hatchback
7499.0,9.4,69.0,5200.0,four,four,sedan
7999.0,9.4,69.0,5200.0,four,four,wagon
8249.0,9.4,69.0,5200.0,two,four,hardtop
8949.0,8.5,97.0,5200.0,four,four,hatchback
9549.0,8.5,97.0,5200.0,four,four,sedan
13499.0,9.0,152.0,5200.0,four,six,sedan
14399.0,9.0,152.0,5200.0,four,six,wagon
13499.0,9.0,152.0,5200.0,four,six,sedan
17199.0,9.0,160.0,5200.0,two,six,hatchback
19699.0,7.8,200.0,5200.0,two,six,hatchback
18399.0,9.0,160.0,5200.0,two,six,hatchback
11900.0,8.4,97.0,5000.0,four,four,sedan
13200.0,21.0,95.0,4150.0,four,four,sedan
12440.0,8.4,97.0,5000.0,four,four,wagon
13860.0,21.0,95.0,4150.0,four,four,wagon
15580.0,8.4,95.0,5000.0,four,four,sedan
16900.0,21.0,95.0,4150.0,four,four,sedan
16695.0,8.4,95.0,5000.0,four,four,wagon
17075.0,21.0,95.0,4150.0,four,four,wagon
16630.0,8.4,97.0,5000.0,four,four,sedan
17950.0,21.0,95.0,4150.0,four,four,sedan
18150.0,7.0,142.0,5600.0,four,four,sedan
5572.0,9.4,68.0,5500.0,two,four,hatchback
7957.0,7.6,102.0,5500.0,two,four,hatchback
6229.0,9.4,68.0,5500.0,four,four,hatchback
6692.0,9.4,68.0,5500.0,four,four,sedan
7609.0,9.4,68.0,5500.0,four,four,sedan
8921.0,8.5,88.0,5000.0,four,four,wagon
12764.0,7.0,145.0,5000.0,two,four,hatchback
22018.0,9.5,143.0,5500.0,two,four,hatchback
32528.0,9.5,207.0,5900.0,two,six,hardtop
34028.0,9.5,207.0,5900.0,two,six,hardtop
37028.0,9.5,207.0,5900.0,two,six,convertible
,10.0,288.0,5750.0,two,eight,hatchback
9295.0,8.7,,,four,four,wagon
9895.0,8.7,,,two,four,hatchback
11850.0,9.31,110.0,5250.0,two,four,hatchback
12170.0,9.3,110.0,5250.0,four,four,sedan
15040.0,9.3,110.0,5250.0,two,four,hatchback
15510.0,9.3,110.0,5250.0,four,four,sedan
18150.0,9.0,160.0,5500.0,two,four,hatchback
18620.0,9.0,160.0,5500.0,four,four,sedan
5118.0,9.0,69.0,4900.0,two,four,hatchback
7053.0,8.7,73.0,4400.0,two,four,hatchback
7603.0,8.7,73.0,4400.0,two,four,hatchback
7126.0,9.5,82.0,4800.0,four,four,sedan
7775.0,9.5,82.0,4400.0,four,four,sedan
9960.0,9.0,94.0,5200.0,four,four,sedan
9233.0,9.0,82.0,4800.0,four,four,sedan
11259.0,7.7,111.0,4800.0,four,four,sedan
7463.0,9.0,82.0,4800.0,four,four,wagon
10198.0,9.0,94.0,5200.0,four,four,wagon
8013.0,9.0,82.0,4800.0,four,four,wagon
11694.0,7.7,111.0,4800.0,four,four,wagon
5348.0,9.0,62.0,4800.0,two,four,hatchback
6338.0,9.0,62.0,4800.0,two,four,hatchback
6488.0,9.0,62.0,4800.0,four,four,hatchback
6918.0,9.0,62.0,4800.0,four,four,wagon
7898.0,9.0,62.0,4800.0,four,four,wagon
8778.0,9.0,62.0,4800.0,four,four,wagon
6938.0,9.0,70.0,4800.0,four,four,sedan
7198.0,9.0,70.0,4800.0,four,four,hatchback
7898.0,22.5,56.0,4500.0,four,four,sedan
7788.0,22.5,56.0,4500.0,four,four,hatchback
7738.0,9.0,70.0,4800.0,four,four,sedan
8358.0,9.0,70.0,4800.0,four,four,hatchback
9258.0,9.0,70.0,4800.0,four,four,sedan
8058.0,9.0,70.0,4800.0,two,four,sedan
8238.0,9.0,70.0,4800.0,two,four,hatchback
9298.0,9.4,112.0,6600.0,two,four,sedan
9538.0,9.4,112.0,6600.0,two,four,hatchback
8449.0,9.3,116.0,4800.0,two,four,hardtop
9639.0,9.3,116.0,4800.0,two,four,hardtop
9989.0,9.3,116.0,4800.0,two,four,hatchback
11199.0,9.3,116.0,4800.0,two,four,hardtop
11549.0,9.3,116.0,4800.0,two,four,hatchback
17669.0,9.3,116.0,4800.0,two,four,convertible
8948.0,8.7,92.0,4200.0,four,four,sedan
10698.0,22.5,73.0,4500.0,four,four,sedan
9988.0,8.7,92.0,4200.0,four,four,hatchback
10898.0,8.7,92.0,4200.0,four,four,sedan
11248.0,8.7,92.0,4200.0,four,four,hatchback
16558.0,9.3,161.0,5200.0,two,six,hatchback
15998.0,9.3,161.0,5200.0,two,six,hatchback
15690.0,9.2,156.0,5200.0,four,six,sedan
15750.0,9.2,156.0,5200.0,four,six,wagon
7775.0,23.0,52.0,4800.0,two,four,sedan
7975.0,9.0,85.0,5250.0,two,four,sedan
7995.0,23.0,52.0,4800.0,four,four,sedan
8195.0,9.0,85.0,5250.0,four,four,sedan
8495.0,9.0,85.0,5250.0,four,four,sedan
9495.0,23.0,68.0,4500.0,four,four,sedan
9995.0,10.0,100.0,5500.0,four,four,sedan
11595.0,8.5,90.0,5500.0,two,four,convertible
9980.0,8.5,90.0,5500.0,two,four,hatchback
13295.0,8.5,110.0,5500.0,four,five,sedan
13845.0,23.0,68.0,4500.0,four,four,sedan
12290.0,9.0,88.0,5500.0,four,four,wagon
12940.0,9.5,114.0,5400.0,four,four,sedan
13415.0,9.5,114.0,5400.0,four,four,wagon
15985.0,9.5,114.0,5400.0,four,four,sedan
16515.0,9.5,114.0,5400.0,four,four,wagon
18420.0,7.5,162.0,5100.0,four,four,sedan
18950.0,7.5,162.0,5100.0,four,four,wagon
16845.0,9.5,114.0,5400.0,four,four,sedan
19045.0,8.7,160.0,5300.0,four,four,sedan
21485.0,8.8,134.0,5500.0,four,six,sedan
22470.0,23.0,106.0,4800.0,four,six,sedan
22625.0,9.5,114.0,5400.0,four,four,sedan
